breed_id,pet_id,gender,visit_age_years,visit_age_months,weight_kg,bcs_recorded,bcs_predicted,bcs_source,growth_status,growth_status_binary,preventive_care_visit,healthy_pet_diagnosis,average_adult_breed_weight_kg,source_type
11,952307,FS,2.771,33.25,33.384,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952307,FS,2.779,33.35,33.384,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952458,FS,2.503,30.04,33.793,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952555,FS,2.966,35.59,37.013,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952579,FS,2.026,24.31,30.663,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952579,FS,2.7,32.4,29.937,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952806,FS,2.001,24.01,30.436,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952943,FS,2.316,27.79,32.523,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952943,FS,2.832,33.98,30.255,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952972,FS,0.588,7.06,34.428,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952972,FS,0.67,8.04,35.471,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952973,M,0.253,3.04,10.659,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952974,M,0.254,3.05,10.841,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952974,M,0.388,4.66,20.049,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952976,F,0.358,4.3,16.874,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952977,F,0.224,2.69,6.26,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952977,F,0.303,3.64,11.34,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952977,F,0.319,3.83,12.837,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,952977,F,0.476,5.71,20.593,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952977,F,0.69,8.28,26.399,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952978,F,0.92,11.04,27.76,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952978,F,1.653,19.84,32.84,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952979,M,1.002,12.02,46.221,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952980,F,1.002,12.02,38.555,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952981,F,2.824,33.89,46.539,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,952982,F,2.07,24.84,35.516,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952983,F,0.174,2.09,5.806,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,952984,M,0.327,3.92,19.913,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953050,FS,2.141,25.69,29.484,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,953065,FS,2.503,30.04,32.477,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953080,F,0.736,8.83,29.03,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953098,FS,2.254,27.05,35.743,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953140,FS,2.048,24.58,29.438,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953140,FS,2.183,26.2,29.484,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953140,FS,2.629,31.55,31.162,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953186,FS,2.664,31.97,33.611,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953186,FS,2.675,32.1,33.793,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953186,FS,2.713,32.56,33.793,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953186,FS,2.821,33.85,31.978,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953423,FS,2.001,24.01,35.29,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953572,FS,2.935,35.22,29.075,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953631,FS,2.957,35.48,29.121,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953879,FS,2.755,33.06,29.166,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,953897,FS,2.503,30.04,31.298,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,953925,FS,2.002,24.02,37.648,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,953984,FS,2.002,24.02,33.43,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,954559,FS,2.503,30.04,30.935,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,954559,FS,2.777,33.32,30.119,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954559,FS,2.963,35.56,29.121,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954647,FS,2.642,31.7,39.463,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954926,M,0.308,3.7,3.81,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954927,M,0.673,8.08,45.813,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954927,M,0.736,8.83,47.174,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954929,F,0.116,1.39,1.905,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,954930,F,0.585,7.02,18.144,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954931,F,0.919,11.03,26.218,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954933,MN,1.002,12.02,49.986,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954933,MN,1.037,12.44,52.254,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954935,F,0.503,6.04,31.752,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,954936,M,0.218,2.62,10.433,Normal,,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,954936,M,0.281,3.37,15.241,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954936,M,0.672,8.06,36.106,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,954936,M,1.157,13.88,37.648,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954936,M,1.196,14.35,31.933,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954937,F,0.158,1.9,4.536,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,954937,F,0.16,1.92,4.536,Normal,,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955034,FS,2.135,25.62,28.531,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955034,FS,2.264,27.17,28.758,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955053,FS,2.382,28.58,37.92,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,955053,FS,2.875,34.5,37.648,,Normal,Normal,normal_growth,0,Y,N,35.91,real_public_classification_sample
11,955075,FS,2.002,24.02,33.294,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,955075,FS,2.059,24.71,33.566,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,955075,FS,2.108,25.3,33.022,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955075,FS,2.12,25.44,32.16,,Normal,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
11,955075,FS,2.69,32.28,34.11,,Normal,Normal,normal_growth,0,N,Y,35.91,real_public_classification_sample
11,955100,FS,2.412,28.94,36.287,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955100,FS,2.505,30.06,36.378,,Normal,Normal,normal_growth,0,N,N,35.91,real_public_classification_sample
11,955144,F,0.146,1.75,12.338,Normal,,Normal,normal_growth,0,Y,Y,35.91,real_public_classification_sample
